date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:07	74514/74514	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:03:05%20GMT	https://arsredovisning.helsingborg.se/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/index.html	(from )
14:03:09	142/142	---M-Z	200	added ('OK')	text/plain	date:Mon,%2011%20Dec%202017%2013:03:05%20GMT	https://arsredovisning.helsingborg.se/robots.txt		(from )
14:03:10	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2011%20Dec%202017%2013:03:09%20GMT	https://arsredovisning.helsingborg.se/wp/wp-admin/admin-ajax.php	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp/wp-admin/admin-ajax.php	(from https://arsredovisning.helsingborg.se/)
14:03:17	392642/392642	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Dec%202017%2008:38:30%20GMT	http://helsingborg-stad.github.io/styleguide-web/dist/css/hbg-prime-purple.min.css	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/helsingborg-stad.github.io/styleguide-web/dist/css/hbg-prime-purple.min.css	(from https://arsredovisning.helsingborg.se/)
14:03:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Dec%202017%2013:03:18%20GMT	http://cdn.polyfill.io/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/cdn.polyfill.io/index.html	(from https://arsredovisning.helsingborg.se/)
14:03:19	9116/9116	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2258a4d944-239c%22	http://helsingborg-stad.github.io/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/helsingborg-stad.github.io/index.html	(from https://arsredovisning.helsingborg.se/)
14:03:20	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Dec%202017%2013:03:18%20GMT	http://www.google-analytics.com/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/www.google-analytics.com/index.html	(from https://arsredovisning.helsingborg.se/)
14:03:21	208/208	---M-Z	200	added ('OK')	text/html	etag:%22620e96-d0-5074487bc7a00%22	http://f1-eu.readspeaker.com/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/f1-eu.readspeaker.com/index.html	(from https://arsredovisning.helsingborg.se/)
14:03:21	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2011%20Dec%202017%2013:03:21%20GMT	http://s.w.org/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/s.w.org/index.html	(from https://arsredovisning.helsingborg.se/)
14:03:23	5971/5971	---M-Z	200	added ('OK')	text/css	etag:%221753-5586bf2e30853-gzip%22	https://arsredovisning.helsingborg.se/wp-content/themes/municipio/assets/dist/css/app.min-58ea072d72.css	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/themes/municipio/assets/dist/css/app.min-58ea072d72.css	(from https://arsredovisning.helsingborg.se/)
14:03:25	5871/5871	---M-Z	200	added ('OK')	text/css	etag:%2216ef-55aa1fcdb0580-gzip%22	https://arsredovisning.helsingborg.se/wp-content/plugins/tablepress/css/default.min.css	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/plugins/tablepress/css/default.min.css	(from https://arsredovisning.helsingborg.se/)
14:03:33	295824/295824	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Dec%202017%2008:38:30%20GMT	http://helsingborg-stad.github.io/styleguide-web/dist/js/hbg-prime.min.js	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/helsingborg-stad.github.io/styleguide-web/dist/js/hbg-prime.min.js	(from https://arsredovisning.helsingborg.se/)
14:03:34	72/72	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Dec%202017%2013:03:26%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?ver=4.9.1	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/cdn.polyfill.io/v2/polyfill.min5859.js	(from https://arsredovisning.helsingborg.se/)
14:03:35	9412/9412	---M-Z	200	added ('OK')	text/javascript	etag:%22721d21-24c4-55d6589c4a800%22	http://f1-eu.readspeaker.com/script/5507/ReadSpeaker.js?pids=embhl&jit=1&ver=1.0.0	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/f1-eu.readspeaker.com/script/5507/ReadSpeaker7b43.js	(from https://arsredovisning.helsingborg.se/)
14:03:38	77638/77638	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:03:36%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/index.html	(from https://arsredovisning.helsingborg.se/)
