date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:08	74514/74514	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:56:08%20GMT	https://arsredovisning.helsingborg.se/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/index.html	(from )
09:56:09	142/142	---M-Z	200	added ('OK')	text/plain	date:Mon,%2011%20Dec%202017%2008:56:08%20GMT	https://arsredovisning.helsingborg.se/robots.txt		(from )
09:56:09	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2011%20Dec%202017%2008:56:09%20GMT	https://arsredovisning.helsingborg.se/wp/wp-admin/admin-ajax.php	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp/wp-admin/admin-ajax.php	(from https://arsredovisning.helsingborg.se/)
09:56:10	392642/392642	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Dec%202017%2008:38:30%20GMT	http://helsingborg-stad.github.io/styleguide-web/dist/css/hbg-prime-purple.min.css	C:/Mina%20webbsidor/arsred2016ny/helsingborg-stad.github.io/styleguide-web/dist/css/hbg-prime-purple.min.css	(from https://arsredovisning.helsingborg.se/)
09:56:10	5971/5971	---M-Z	200	added ('OK')	text/css	etag:%221753-5586bf2e30853-gzip%22	https://arsredovisning.helsingborg.se/wp-content/themes/municipio/assets/dist/css/app.min-58ea072d72.css	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/themes/municipio/assets/dist/css/app.min-58ea072d72.css	(from https://arsredovisning.helsingborg.se/)
09:56:11	5871/5871	---M-Z	200	added ('OK')	text/css	etag:%2216ef-55aa1fcdb0580-gzip%22	https://arsredovisning.helsingborg.se/wp-content/plugins/tablepress/css/default.min.css	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/plugins/tablepress/css/default.min.css	(from https://arsredovisning.helsingborg.se/)
09:56:15	295824/295824	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Dec%202017%2008:38:30%20GMT	http://helsingborg-stad.github.io/styleguide-web/dist/js/hbg-prime.min.js	C:/Mina%20webbsidor/arsred2016ny/helsingborg-stad.github.io/styleguide-web/dist/js/hbg-prime.min.js	(from https://arsredovisning.helsingborg.se/)
09:56:15	72/72	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Dec%202017%2008:56:11%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?ver=4.9.1	C:/Mina%20webbsidor/arsred2016ny/cdn.polyfill.io/v2/polyfill.min5859.js	(from https://arsredovisning.helsingborg.se/)
09:56:15	9412/9412	---M-Z	200	added ('OK')	text/javascript	etag:%22721d21-24c4-55d6589c4a800%22	http://f1-eu.readspeaker.com/script/5507/ReadSpeaker.js?pids=embhl&jit=1&ver=1.0.0	C:/Mina%20webbsidor/arsred2016ny/f1-eu.readspeaker.com/script/5507/ReadSpeaker7b43.js	(from https://arsredovisning.helsingborg.se/)
09:56:16	77637/77637	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:56:15%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/forvaltningsberattelse/index.html	(from https://arsredovisning.helsingborg.se/)
09:56:16	69792/69792	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:56:15%20GMT	https://arsredovisning.helsingborg.se/kontakta-oss/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/kontakta-oss/index.html	(from https://arsredovisning.helsingborg.se/)
09:56:16	74439/74439	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:56:15%20GMT	https://arsredovisning.helsingborg.se/ekonomisk-redovisning/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/ekonomisk-redovisning/index.html	(from https://arsredovisning.helsingborg.se/)
09:56:17	80514/80514	---M--	200	added ('OK')	image/jpeg	etag:%2213a82-531eec8cc9ac0%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/05/skolflicka_mobil-500x500.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/05/skolflicka_mobil-500x500.jpg	(from https://arsredovisning.helsingborg.se/)
09:56:17	69314/69314	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:56:17%20GMT	https://arsredovisning.helsingborg.se/rattelser/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/rattelser/index.html	(from https://arsredovisning.helsingborg.se/)
09:56:18	78979/78979	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2008:56:17%20GMT	https://arsredovisning.helsingborg.se/ordlista/	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/ordlista/index.html	(from https://arsredovisning.helsingborg.se/)
